id_detalle,transaccion,cuota,valor,estado,fecha_pago,fecha_pagado,fotografia,enviar_pdf
0b129067,a7ddfc59,22,379,PAGADO,2024-03-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
d1cdf85d,a7ddfc59,23,379,PAGADO,2024-04-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
c56083b8,a7ddfc59,24,379,PAGADO,2024-05-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
ddd17a91,a7ddfc59,25,379,PAGADO,2024-06-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
f27ace1e,a7ddfc59,26,379,PAGADO,2024-07-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
d5b60fc4,a7ddfc59,27,379,PAGADO,2024-08-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
4dbdc285,a7ddfc59,28,379,PAGADO,2024-09-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
ddaf94bc,a7ddfc59,29,379,PAGADO,2024-10-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
6c7b6a94,a7ddfc59,30,379,PAGADO,2024-11-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
740205ef,a7ddfc59,31,379,PAGADO,2024-12-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
94adde6d,a7ddfc59,32,379,PAGADO,2025-01-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
8d497b7e,a7ddfc59,33,379,PAGADO,2025-02-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
caf8a35a,a7ddfc59,34,379,PAGADO,2025-03-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
5c8bc6bc,a7ddfc59,35,379,PAGADO,2025-04-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
ec8d6b07,a7ddfc59,36,379,PAGADO,2025-05-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
17de294d,9d171f5f,1,351,PAGADO,2022-10-15,2022-10-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
1e4a4c5d,9d171f5f,2,351,PAGADO,2022-11-15,2022-11-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
0e05ed82,9d171f5f,3,351,PAGADO,2022-12-15,2022-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
fe77b9fa,9d171f5f,4,351,PAGADO,2023-01-15,2023-01-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
b863c4e4,9d171f5f,5,351,PAGADO,2023-02-15,2023-02-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
d4a355bf,9d171f5f,6,351,PAGADO,2023-03-15,2023-03-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
330d3609,9d171f5f,7,351,PAGADO,2023-04-15,2023-04-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
34d66656,9d171f5f,8,351,PAGADO,2023-05-15,2023-05-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
08acd860,9d171f5f,9,351,PAGADO,2023-06-15,2023-06-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
9203e9bd,9d171f5f,10,351,PAGADO,2023-07-15,2023-07-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
d52c3560,9d171f5f,11,351,PAGADO,2023-08-15,2023-08-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
57d8621f,9d171f5f,12,351,PAGADO,2023-09-15,2023-09-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
176a3b4f,9d171f5f,13,351,PAGADO,2023-10-15,2023-10-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
d4781326,9d171f5f,14,351,PAGADO,2023-11-15,2023-11-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
6f9b6454,9d171f5f,15,351,PAGADO,2023-12-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
8ecf7459,9d171f5f,16,351,PAGADO,2024-01-15,2024-01-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
106b0a58,9d171f5f,17,351,PAGADO,2024-02-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
4453cf3f,9d171f5f,18,351,PAGADO,2024-03-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
fe038e58,9d171f5f,19,351,PAGADO,2024-04-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
f7dac46c,9d171f5f,20,351,PAGADO,2024-05-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
f4d8d72f,9d171f5f,21,351,PAGADO,2024-06-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
242c8d64,9d171f5f,22,351,PAGADO,2024-07-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
140e840b,9d171f5f,23,351,PAGADO,2024-08-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
a0a53ae5,9d171f5f,24,351,PAGADO,2024-09-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
0651c911,9d171f5f,25,351,PAGADO,2024-10-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
ba6aa21c,9d171f5f,26,351,PAGADO,2024-11-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
93218ca1,9d171f5f,27,351,PAGADO,2024-12-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
076f11f2,9d171f5f,28,351,PAGADO,2025-01-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
2c1ead83,9d171f5f,29,351,PAGADO,2025-02-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
dd5cef28,9d171f5f,30,351,PAGADO,2025-03-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
c4f6b904,9d171f5f,31,351,PAGADO,2025-04-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
11e2a891,9d171f5f,32,351,PAGADO,2025-05-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
76ade176,9d171f5f,33,351,PAGADO,2025-06-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
c6cd4107,9d171f5f,34,351,PAGADO,2025-07-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
765d2cae,9d171f5f,35,351,PAGADO,2025-08-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
